,features,types,non_null_counts
0,id,object,14319
1,nhogar,object,14319
2,miembro,object,14319
3,comuna,object,14319
4,dominio,object,14319
5,edad,int64,14319
6,sexo,object,14319
7,parentesco_jefe,object,14319
8,situacion_conyugal,object,14318
9,num_miembro_padre,object,14319
10,num_miembro_madre,object,14319
11,estado_ocupacional,object,14319
12,cat_ocupacional,object,14319
13,calidad_ingresos_lab,object,14319
14,ingreso_total_lab,int64,14319
15,calidad_ingresos_no_lab,object,14319
16,ingreso_total_no_lab,int64,14319
17,calidad_ingresos_totales,object,14319
18,ingresos_totales,int64,14319
19,calidad_ingresos_familiares,object,14319
20,ingresos_familiares,int64,14319
21,ing_per_cap_familiar,int64,14319
22,estado_educativo,object,14319
23,sector_educativo,object,14316
24,nivel_actual,object,14319
25,nivel_max_educativo,object,13265
26,años_escolaridad,float64,14257
27,lugar_nacimiento,object,14318
28,afiliacion_salud,object,14315
29,hijos_nacidos_vivos,object,6535
30,cant_hijos_nac_vivos,int64,14319
31,Target,Int64,0
32,region,object,14319
