,features,types,non_null_counts
0,dominio,object,13223
1,edad,int64,13223
2,sexo,object,13223
3,situacion_conyugal,object,13223
4,estado_ocupacional,object,13223
5,ingreso_total_lab,int64,13223
6,ingreso_total_no_lab,int64,13223
7,ingresos_totales,int64,13223
8,ingresos_familiares,int64,13223
9,ing_per_cap_familiar,int64,13223
10,sector_educativo,object,13223
11,años_escolaridad,float64,13223
12,lugar_nacimiento,object,13223
13,afiliacion_salud,object,13223
14,cant_hijos_nac_vivos,int64,13223
15,Target,int32,13223
16,region,object,13223
